ts_code,trade_date,close,pe_ttm,bias60,BR26,variance20,close_SPX
000001.SH,20170407,3286.616,16.67,2.525652692,83.45925458,3.835932648,2355.54
000001.SH,20170410,3269.3926,16.58,1.933263679,74.24944561,3.805503208,2357.16
000001.SH,20170411,3288.9657,16.67,2.471819233,75.87132154,4.017910013,2353.78
000001.SH,20170412,3273.8301,16.61,1.945940089,76.4894181,3.751971719,2344.93
000001.SH,20170413,3275.9603,16.63,1.951800731,72.39219378,3.791551548,2328.95
000001.SH,20170414,3246.0668,16.5,0.964233219,65.31216264,4.462608651,2328.95
000001.SH,20170417,3222.1673,16.38,0.16745282,56.19934813,4.208421581,2349.01
000001.SH,20170418,3196.7133,16.25,-0.667040354,59.59823935,3.66007639,2342.19
000001.SH,20170419,3170.6867,16.12,-1.510083684,51.89231439,3.729840395,2338.17
000001.SH,20170420,3172.1003,16.13,-1.498466661,48.13923184,3.668161063,2355.84
000001.SH,20170421,3173.1512,16.15,-1.496492204,47.24544778,3.677607991,2348.69
000001.SH,20170424,3129.5312,15.93,-2.8647675,40.47701635,4.438359924,2374.15
000001.SH,20170425,3134.5674,15.91,-2.714204118,37.05340676,4.154608004,2388.61
000001.SH,20170426,3140.8471,15.93,-2.521358002,41.8576031,4.23695969,2387.45
000001.SH,20170427,3152.1869,15.91,-2.174293213,39.41338079,4.523601424,2388.77
000001.SH,20170428,3154.6584,15.49,-2.100176486,37.09200915,4.528039252,2384.2
000001.SH,20170502,3143.7121,15.25,-2.432078834,39.09593083,4.099384391,2391.17
000001.SH,20170503,3135.346,15.21,-2.689300062,37.13101178,3.944542509,2388.13
000001.SH,20170504,3127.3687,15.17,-2.922017287,32.91031058,3.120182438,2389.52
000001.SH,20170505,3103.0378,15.09,-3.652335112,27.49050628,3.113010111,2399.29
000001.SH,20170508,3078.6129,14.99,-4.366982107,25.51140725,3.114734092,2399.38
000001.SH,20170509,3080.5269,15,-4.256642421,24.84100185,3.24246295,2396.92
000001.SH,20170510,3052.785,14.89,-5.048081244,27.43699174,3.184979851,2399.63
000001.SH,20170511,3061.5003,14.94,-4.700264764,25.25336194,3.743274032,2394.44
000001.SH,20170512,3083.5132,15.08,-3.948055281,21.55480638,4.364738148,2390.9
000001.SH,20170515,3090.2289,15.1,-3.677472253,21.63655083,3.809354064,2402.32
000001.SH,20170516,3112.9642,15.2,-2.909973853,22.22531342,4.36467458,2400.67
000001.SH,20170517,3104.4415,15.14,-3.126622851,23.7302187,4.081059472,2357.03
000001.SH,20170518,3090.139,15.08,-3.497734963,20.36827365,3.883467635,2365.72
000001.SH,20170519,3090.6309,15.09,-3.400572772,22.37867722,3.879229945,2381.73
000001.SH,20170522,3075.6756,15.05,-3.775003782,22.7731945,4.043753251,2394.02
000001.SH,20170523,3061.947,15.01,-4.10980005,24.40337592,3.084814387,2398.42
000001.SH,20170524,3064.0759,15.02,-3.948198039,27.60096984,3.166467366,2404.39
000001.SH,20170525,3107.8311,15.25,-2.515031243,35.81787451,4.770587718,2415.07
000001.SH,20170526,3110.0587,15.26,-2.377955557,41.82151217,4.63355946,2415.82
000001.SH,20170531,3117.1778,15.3,-2.088028599,48.17652397,4.762363319,2411.8
000001.SH,20170601,3102.6232,15.25,-2.480151967,45.49448142,4.796430626,2430.06
000001.SH,20170602,3105.54,15.25,-2.330773446,52.20341804,4.764728888,2439.07
000001.SH,20170605,3091.6561,15.16,-2.694889357,48.42243876,4.935465028,2436.1
000001.SH,20170606,3102.126,15.21,-2.293467938,46.24540514,4.793725483,2429.33
000001.SH,20170607,3140.3249,15.38,-1.038205242,54.77922278,5.167778888,2433.14
000001.SH,20170608,3150.3336,15.44,-0.688157767,57.76270779,5.151174853,2433.79
000001.SH,20170609,3158.4004,15.49,-0.405413099,62.61976497,4.207066177,2431.77
000001.SH,20170612,3139.8766,15.42,-0.938951452,62.62371122,4.33545679,2429.39
000001.SH,20170613,3153.7429,15.48,-0.456681836,66.25191981,4.105967354,2440.35
000001.SH,20170614,3130.674,15.36,-1.127039155,68.34971529,4.525620246,2437.92
000001.SH,20170615,3132.4863,15.35,-0.998698107,75.43081145,4.148635817,2432.46
000001.SH,20170616,3123.1662,15.31,-1.233802919,75.83743466,4.146099068,2433.15
000001.SH,20170619,3144.3739,15.41,-0.507323205,84.22142082,4.306094401,2453.46
000001.SH,20170620,3140.0136,15.4,-0.58153723,88.84102666,4.464789197,2437.03
000001.SH,20170621,3156.2118,15.48,-0.021714147,86.20595914,4.20286115,2435.61
000001.SH,20170622,3147.4532,15.46,-0.245915461,87.49350468,4.145141958,2434.5
000001.SH,20170623,3157.873,15.52,0.143345203,84.32277533,4.17955707,2438.3
000001.SH,20170626,3185.4439,15.63,1.061220247,92.86776316,2.982314613,2439.07
000001.SH,20170627,3191.1969,15.67,1.276808328,98.74617162,2.980003327,2419.38
000001.SH,20170628,3173.2014,15.59,0.741992502,94.91050858,3.028275908,2440.69
000001.SH,20170629,3188.0625,15.68,1.225675862,103.3116436,2.928692872,2419.7
000001.SH,20170630,3192.4269,15.67,1.380393705,104.8459371,2.958658984,2423.41
000001.SH,20170703,3195.9116,15.68,1.531033332,113.1760576,2.719284731,2429.01
000001.SH,20170704,3182.8039,15.62,1.167216978,93.27793874,2.876631232,2429.01
000001.SH,20170705,3207.1342,15.74,1.983510697,96.65104908,2.454400242,2432.54
000001.SH,20170706,3212.444,15.77,2.183197472,84.11965824,2.418892876,2409.75
000001.SH,20170707,3217.9567,15.79,2.397095763,87.79723269,2.44332604,2425.18
000001.SH,20170710,3212.6319,15.78,2.26084756,88.65400604,2.254637591,2427.43
000001.SH,20170711,3203.0375,15.76,1.99490788,94.90970526,2.155699913,2425.53
000001.SH,20170712,3197.5439,15.74,1.846201667,91.81515159,1.874056993,2443.25
000001.SH,20170713,3218.1632,15.85,2.50513378,85.89732038,2.101827894,2447.83
000001.SH,20170714,3222.4168,15.87,2.626616147,82.19526472,2.012330076,2459.27
000001.SH,20170717,3176.4648,15.72,1.16004732,65.49171128,3.581025639,2459.14
000001.SH,20170718,3187.5672,15.75,1.505289479,66.0711797,3.764160192,2460.61
000001.SH,20170719,3230.9762,15.96,2.856044827,72.94512577,4.928988712,2473.83
000001.SH,20170720,3244.8647,16.02,3.235003889,81.79411688,4.817942945,2473.45
000001.SH,20170721,3237.9817,15.98,2.9595639,80.94234538,4.80180609,2472.54
000001.SH,20170724,3250.5989,16.06,3.300675108,87.55855138,4.613814937,2469.91
000001.SH,20170725,3243.6894,16.03,3.031165055,81.23398023,4.74830504,2477.13
000001.SH,20170726,3247.6748,16.08,3.106983431,83.64300879,4.517073022,2477.83
000001.SH,20170727,3249.7814,16.08,3.115990105,77.10673554,4.510150297,2475.42
000001.SH,20170728,3253.2404,16.1,3.161426836,70.54720422,4.489573224,2472.1
000001.SH,20170731,3273.0283,16.18,3.709070994,78.13828472,4.554602988,2470.3
