,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
1088,000001.SH,20200623,2970.6203,2960.8875,2972.4025,2949.8469,225212208,305378770.5,0.61,1.52,12.53,13.39,1.32,0.503340812,1.093483295,1.691095686,3.851176541,178.4033671,1.358707845,406225.8496,60,3.612215076,301470003.8,1.106345924,619096986.4,21710698.5,102.4011174,120.7025606,1.694,0.153008428,-18.30144315,6.8075E+11,5.028468113,0.664119476,0.057054208,0.516330442,6.702481674,0.453505918,0.827825536,1,1433.6792,0.0013,3131.29,0.43,13866.14,0.18,752.48,0,2020/6/23
1089,000001.SH,20200624,2979.5505,2972.9827,2982.9425,2971.2235,213200732,297008784.1,0.58,1.44,12.58,13.43,1.32,0.508425371,1.274011246,1.748197865,4.033265859,187.1932928,1.422142745,640918.389,60,-7.754971393,305813374.7,1.089242854,551962776.1,20668487.04,107.1195,112.6890998,1.664,0.146488728,-5.569599789,6.8432E+11,4.769357758,0.611327218,0.219365524,0.350501236,6.705542412,0.445140386,0.819160806,1,1436.0551,0.0017,3050.33,-2.59,13938.63,0.52,1855.82,0,2020/6/24
1090,000001.SH,20200629,2961.5164,2973.0757,2977.9122,2951.7702,220622729,293886016,0.6,1.5,12.5,13.35,1.32,-0.249323104,0.522251871,0.933657232,3.289800466,173.7737607,0.182834775,-1335346.508,57,5.536580886,308459858.9,1.05751148,411669099.4,19985505.01,108.222844,111.0207714,1.612,0.141021648,-2.797927429,6.87558E+11,5.042358635,0.677873309,0.067563094,-0.651022432,6.596434033,0.454990966,0.899157085,1,1406.0828,-0.0209,3053.24,1.47,13853.63,-0.61,-1446.9,568.51,2020/6/29
1091,000001.SH,20200630,2984.6741,2965.1054,2990.8253,2965.1054,214957214,297312328.4,0.58,1.45,12.6,13.46,1.33,0.415415318,1.085495319,1.494053412,3.953988482,188.6142809,1.390116866,1680866.827,60,3.381609827,309783959,1.01436246,468130713.5,19464590.33,125.3445239,126.1455304,1.542,0.134813712,-0.801006468,6.90126E+11,5.080884919,0.660094712,0.003831031,1.047416873,6.657446321,0.428509516,0.814603497,1,1418.8691,0.0091,3100.29,1.54,13853.63,-0.61,0,5219.07,2020/6/30
1092,000001.SH,20200701,3025.981,2991.1813,3026.1862,2984.9841,273313140,369883802.3,0.74,1.85,12.77,13.64,1.35,1.390952545,2.014768939,2.705648989,5.224285085,176.1499357,3.597669045,3782563.243,60,16.93894139,318249741.6,1.017482517,495619898.1,20549330.42,161.7436835,174.7293429,1.552,0.142758537,-12.98565949,6.93594E+11,4.540545267,0.503910442,-0.229516116,1.962561191,6.767824738,0.362813586,0.673935158,1,1421.601,0.0019,3115.86,0.5,14325.29,2.6,0,5219.07,2020/7/1
1093,000001.SH,20200702,3090.5693,3023.7189,3092.4432,3021.6736,391127996,478216482.3,1.07,2.67,13.06,13.95,1.38,2.729339512,3.637327051,4.597564328,7.248944077,202.1159618,5.850810456,8348463.637,60,65.72613303,340281030.6,1.153771447,882970630.8,40306349.55,194.3811657,203.7068048,1.782,0.279312596,-9.325639013,7.16003E+11,7.150452001,0.950863277,0.858666126,2.96995326,7.632293819,0.478381682,0.707838211,1,1429.6248,0.0056,3130.01,0.45,14644.58,2.23,17115.09,5084.28,2020/7/2
1094,000001.SH,20200703,3152.8126,3103.9952,3152.8126,3103.9952,458793851,535489334.7,1.26,3.14,13.34,14.25,1.41,3.604927048,4.960994819,6.291443906,9.173910623,235.4775375,9.092706492,9239994.491,60,88.64487335,378632791.3,1.350445482,1244584829,63018623.79,207.2528107,221.7012897,2.122,0.436836414,-14.44847907,7.50353E+11,7.931184435,0.695242776,0.008880325,2.008277779,7.145522515,0.327033462,0.442859063,1,1436.0905,0.0045,3130.01,0.45,14940.91,2.02,13193.88,3417.09,2020/7/3
1095,000001.SH,20200706,3332.8807,3187.8393,3337.2723,3187.8393,643878906,724153675.7,1.76,4.4,14.14,15.1,1.49,6.912757357,9.520711372,11.58410915,15.0315385,372.4338188,13.6823227,36774165.15,60,188.3301548,449823606.6,1.666700936,1750054866,107412474.6,283.6346769,375.6699582,2.702,0.740569482,-92.03528128,8.2217E+11,18.13732091,1.965640223,5.247372976,3.803937417,11.11589801,1.692000945,6.61169234,1,1442.7712,0.0047,3179.72,1.59,15912.63,6.5,13652.22,9025.67,2020/7/6
1096,000001.SH,20200707,3345.3369,3380.9536,3407.0811,3336.2416,657840159,793638372.4,1.8,4.49,14.18,15.14,1.5,4.885405658,8.582353133,11.22928508,15.11409288,475.6516546,13.94692141,2458590.429,60,180.3442783,533115666,1.988784298,1516859368,136526117.5,255.6886557,448.9170754,3.31,0.939822352,-193.2284197,9.0098E+11,19.99935607,1.723007199,4.388313853,-0.873309014,11.48653955,1.646760937,6.258157747,1,1439.901,-0.002,3145.32,-1.08,16011.19,0.62,9843.85,4119.35,2020/7/7
1097,000001.SH,20200708,3403.4401,3337.5518,3421.5312,3327.7062,587081685,696807634.5,1.6,3.99,14.42,15.4,1.52,4.239872717,8.919208364,12.2918513,16.71979063,390.1024387,15.79024311,10196678.42,60,126.9428892,599698217,2.195809673,1765587758,150215622.6,276.1008886,485.4627729,3.738,1.032021522,-209.3618843,9.65943E+11,20.82105897,1.431457089,3.223010669,1.554992708,12.14419645,1.530043288,5.274255519,1,1456.5901,0.0116,3169.94,0.78,16167.47,0.98,1153.29,8796.69,2020/7/8
