,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
34,000016.SH,20160226,1955.3953,1946.961,1965.9147,1929.9987,26306764.0,22745281.242,0.16,0.71,8.5,8.56,1.11,-2.354930682870056,-2.1802011510867647,-1.3586630810953997,,69.01917205179853,0.15513480691252482,310271.4746227807,,19.73904510133782,27339405.15283333,,-10630244.137482647,7117563.480820014,84.07708315175367,61.49499729683221,0.8720000000000001,0.19236136497967077,22.58208585492146,58050751304.07859,56.9477889111925,-1.2008031984918535,1.713141966988692,0.20377690841459337,,,,0.011725349747015607,1.0,889.85,-0.0049,1948.05,-0.19,8821.18,1.03,1640.0,335.0,2016-02-26
35,000016.SH,20160229,1944.6111,1951.6759,1953.3175,1891.0975,39161583.0,33168529.394,0.24,1.06,8.46,8.52,1.1,-1.822208982034184,-2.701852463397042,-1.6027903662071419,,60.573387291713196,-1.5005953694299186,-215980.03400570375,,56.51920709999339,29646331.909166668,,-13713334.496720117,7215062.23360039,83.00822272391926,62.33347150678136,0.8719999999999999,0.19513827755830235,20.674751217137903,59618970305.60404,56.97972526791577,-1.1789080886030305,1.6703111575099692,-0.18065162480053162,,,,-0.005530363994350898,1.0,890.15,0.0003,1932.23,-0.81,8756.88,-0.73,2013.0,234.0,2016-02-29
36,000016.SH,20160301,1973.1936,1944.5622,1988.5669,1931.9801,29595859.0,27992084.136,0.18,0.8,8.53,8.62,1.12,0.1906980647554614,-1.1346652739696448,-0.2109996504516323,,84.7378813589741,0.3016429708434587,435009.1593468223,,44.6820277579043,28232465.74316667,,-21960300.820886504,6988236.697657746,80.5807877261148,66.79944654971769,0.8859999999999999,0.1890808793806725,13.78134117639712,58744774528.09349,42.79637468570469,-1.3781691546564256,3.608949034354065,0.809401257439309,,,,0.014591338417882065,1.0,897.4,0.0081,1978.35,2.39,8872.43,1.32,757.0,517.0,2016-03-01
37,000016.SH,20160302,2043.4067,1980.4615,2045.8249,1979.174,50978802.0,46820915.805,0.32,1.38,8.81,8.9,1.16,3.7345672111997743,2.234942883329841,3.105349210236889,,118.47803334387604,4.8828574115196846,1814003.3105247235,,169.8257487033319,31864630.044,,41947387.70020297,8211789.1237545805,82.89116790430094,68.98504707314835,1.02,0.22247412623068158,13.906120831152592,60026460111.99512,48.32561251330404,-1.2352383220772039,2.9893307373864233,1.6370602829836367,,,,0.034965019108997956,1.0,902.51,0.0057,1986.45,0.41,9146.56,3.09,2992.0,286.0,2016-03-02
38,000016.SH,20160303,2053.2726,2043.3737,2057.1633,2031.5361,45476671.0,43399574.179,0.28,1.23,8.85,8.95,1.16,2.973794276526486,2.502901350566236,3.2370841283200993,,134.63352816074348,2.61731367547256,219568.76642270488,,48.58116976115266,35087675.236833334,,42747617.98188761,8881626.224632071,86.94360764430868,75.42528306031586,1.036,0.24048799072762553,11.518324583992822,61818924522.975586,45.527232934173,-1.4716589992757663,4.1133908779750294,0.25549643550160517,,,,0.004816544499017246,1.0,903.72,0.0013,1993.4,0.35,9170.78,0.26,-308.0,36.0,2016-03-03
39,000016.SH,20160304,2122.2692,2045.1154,2128.5689,2040.0828,85953126.0,78672195.59,0.54,2.33,9.15,9.25,1.2,4.681901498795495,5.326024210944748,6.307271976758996,,145.00596967906603,5.352666255899654,2888303.020929435,,150.05601982082268,42133096.72433334,,157361546.0015072,15120360.536272906,96.3216025822794,86.82474097618737,1.3599999999999999,0.41003562104567903,9.496861606092025,67056584208.65237,48.46130300078079,-1.248224986128331,3.7221493039120133,1.9358939136151572,,,,0.033050983079213545,-1.0,918.98,0.0169,1999.99,0.33,9434.82,2.88,1800.0,69.0,2016-03-04
40,000016.SH,20160307,2107.6731,2122.5519,2133.5566,2097.777,40058732.0,38149431.79,0.25,1.08,9.1,9.2,1.19,2.316063884330657,4.323036591956464,5.126948133526434,,164.0600867691356,4.897314336675156,-275507.58317804744,,29.478137137848513,44700455.149,,134525562.37630153,15116131.537412792,97.98881441390756,82.427731700843,1.364,0.4098173534123398,15.561082713064565,68622862975.27427,46.093631482414295,-1.3564013806796775,4.537667605105646,-0.38408045356257264,,,,-0.006901350844742121,-1.0,937.13,0.0198,2001.76,0.09,9382.38,-0.56,1153.0,425.0,2016-03-07
41,000016.SH,20160308,2115.158,2102.2483,2118.0424,2037.2938,39003355.0,35705183.469000004,0.24,1.06,9.13,9.23,1.2,1.2834057520233395,4.251624572430225,5.1187336865209705,,133.20252769382301,5.541197536158872,138511.14380095142,,80.24322886749057,45123230.82816666,,145207853.1328664,15033074.952636538,92.54047423098444,75.7383941738384,1.416,0.4076879611715441,16.802080057146043,70181765688.86972,44.98010986621529,-1.3205788301363561,4.715474154877995,0.32722024083497603,,,,0.0035449714474486593,-1.0,942.69,0.0059,1979.26,-1.12,9406.78,0.26,202.0,838.0,2016-03-08
42,000016.SH,20160309,2111.9188,2073.2719,2112.8587,2053.8366,38083290.0,34644426.381,0.24,1.03,9.13,9.23,1.2,0.4690859341230213,3.731369158041062,4.5432697717165285,,141.72937861875172,2.826658699890946,-58321.5972367073,,-2.4987503611177306,46231954.53566667,,155169584.64517316,14740892.572174849,110.9462412002878,84.08171768827086,1.346,0.3995405255777532,26.864523512016945,72024218926.65521,46.18355899071581,-1.3900265830769194,4.59490011311507,0.9860666486385887,,,,-0.0015325960645110744,-1.0,930.78,-0.0126,1989.26,0.51,9387.79,-0.2,308.0,981.0,2016-03-09
43,000016.SH,20160310,2061.451,2089.8613,2102.9862,2060.0643,20872981.0,19900998.976,0.13,0.56,8.92,9.02,1.17,-2.008040123629761,0.6157675151713436,1.8252321454374116,,130.49436481918798,1.5732125732247404,-498794.4756738744,,-22.336535709245407,41745301.73083333,,93209165.88194017,14924962.041549703,115.8746595889994,78.86083226640056,1.2120000000000002,0.4048794492451458,37.01382732259884,71727788049.2251,48.62758018997618,-1.1757110183150903,3.5537692130266247,-0.7221743100614947,,,,-0.02418681435305599,1.0,928.85,-0.0021,1989.57,0.02,9207.25,-1.92,472.0,610.0,2016-03-10
