,ts_code,trade_date,close,open,high,low,vol,amount,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,bias5,bias10,bias20,bias60,CR20,ROC12,VPT,rank60d,VROC12,TVMA6,DAVOL5_60,WVAD6,VSTD20,AR26,BR26,VOL5,turnover_volatility20,ARBR,moneyflow20,variance20,skewness20,kurtosis20,sharpe20,variance60,skewness60,kurtosis60,log_ret,label,close_NHCI,NHCI_pct_chg,close_SPX,SPX_pct_chg,close_XIN9,XIN9_pct_chg,north_money,south_money,date
26,399001.SZ,20160216,10045.367,9727.764,10071.021,9727.764,200401244.15,301370075.9776,1.79,2.89,35.21,30.13,3.15,2.882451000809463,4.993822313943568,2.0944840528169433,,84.12324823782595,-0.6546957558605795,7803980.439219625,,12.510514948348824,243190692.80006668,,548290870.094403,29885227.102345526,101.24733523585864,53.73550454239362,2.2960000000000003,0.4630164257629701,47.51183069346502,1869807530737.4597,128.41631460922855,-0.06392604058994464,-0.2281630623129987,1.0312769800982793,,,,0.03820267242971648,1.0,876.21,0.0011,1895.58,1.65,8993.09,2.49,532.0,456.0,2016-02-16
27,399001.SZ,20160217,10161.769,10043.689,10178.55,9982.167,230764905.26,343715512.15300006,2.08,3.35,35.71,30.55,3.18,2.9717103266374982,5.39599956977708,3.1815911936805246,,91.16395326055085,-0.3018092365870717,2674018.430792477,,39.73791239181973,259757213.9542167,,538656621.9451776,30998102.404612,93.11383990303253,58.85782729553226,2.528,0.48106761752541516,34.25601260750027,1880202662024.882,116.55810190059279,-0.19454135149269441,0.25225435243598865,0.391447024380792,,,,0.011521007978115746,1.0,872.68,-0.004,1926.82,1.65,9048.34,0.61,-44.0,872.0,2016-02-17
28,399001.SZ,20160218,10116.396,10231.263,10273.633,10099.102,237235768.37,359833877.5474,2.04,3.29,35.55,30.41,3.17,1.8445771244651101,3.8122755119198826,2.840205471688869,,105.28256335385686,6.673125572109255,-1059274.0809451498,,10.86385820023488,281510927.80895,,291810788.4209508,31610429.643111315,89.63249126444163,56.51636088854851,2.69,0.4783004451069159,33.116130375893114,1886493837178.2668,91.37668826025418,-0.5042753509109925,0.09452974918206838,-0.43529696693342046,,,,-0.004475067218439726,1.0,876.51,0.0044,1917.83,-0.47,9016.81,-0.35,529.0,317.0,2016-02-18
29,399001.SZ,20160219,10162.315,10091.675,10225.992,10066.043,190410945.7,302956079.8917,1.62,2.62,35.69,30.53,3.18,1.309713954578762,3.493221806362295,3.2207559597156368,,95.83619413522645,7.852379906244994,864288.0543227325,,-13.978487330765283,287570859.9308167,,248179034.19952452,30821702.659926053,106.30157668848929,71.46585447596993,2.814,0.46170051810784535,34.83572221251936,1870852750929.0571,85.04040097361438,-0.6918836942469498,0.7149477990206637,0.2717533077793182,,,,0.004528796577178041,1.0,885.56,0.0103,1917.78,0.0,8998.68,-0.2,309.0,539.0,2016-02-19
30,399001.SZ,20160222,10370.985,10290.05,10371.144,10239.581,235950816.83,363399902.5103,2.12,3.42,36.44,31.15,3.24,1.9625544115685358,4.501945486240986,5.225352883638986,,108.33503719596843,14.185351135601449,4844944.970502894,,39.7376148315089,311823435.2582833,,511865005.8438966,32505678.947887436,120.38103269386598,74.83291743052945,3.114,0.4928037401601064,45.54811526333653,1896219502261.1929,78.30918987379364,-0.7136646594322672,1.07197422130838,0.31862898872661516,,,,0.020325732739604228,-1.0,897.99,0.014,1945.5,1.45,9194.71,2.18,220.0,811.0,2016-02-22
31,399001.SZ,20160223,10299.674,10374.357,10397.523,10171.675,227973806.85,361317143.1928,1.97,3.17,36.18,30.96,3.22,0.7576254561652433,3.068091978715018,4.609080808593675,,93.60482271165105,9.359215408797699,-1567550.2510398268,,26.025300499096403,338765431.8788,,321900501.74507135,32292842.849100184,124.49195796904912,84.52079901291124,3.17,0.48504042153857235,39.971158956137884,1894632522161.9487,71.08559664021614,-0.6824986969681831,1.4023607922200803,-0.31751818884371674,,,,-0.0068997590165272744,-1.0,895.89,-0.0023,1921.27,-1.25,9096.06,-1.07,550.0,544.0,2016-02-23
32,399001.SZ,20160224,10307.626,10256.392,10355.323,10100.504,222308175.14,352716218.1057,1.86,3.0,36.23,31.0,3.23,0.5484792749071613,2.461975863822198,4.721340630126228,,84.89717716656466,10.573046187698235,171635.97689724233,,44.681506209985116,347323122.2334834,,181174008.14175555,31877785.551931735,123.35723208144482,80.57465203485425,3.1,0.47737522481079603,42.78258004659057,1889490291380.0508,70.77759789751889,-0.7677018895498342,1.5340939057682315,0.21143070986794707,,,,0.0007717653835969501,-1.0,895.68,-0.0002,1929.8,0.44,9153.77,0.63,125.0,893.0,2016-02-24
33,399001.SZ,20160225,9551.076,10290.956,10290.956,9510.099,270406679.57,394765770.4448,2.36,3.82,33.56,28.71,2.99,-5.792461862969398,-4.82950402596095,-2.7550102928843536,,79.61214584529593,-0.6227701169397881,-19847069.87124715,,61.34219762901743,355831498.61544997,,-213795498.5731703,36288866.86691863,109.52759352244752,70.2772720419821,3.2060000000000004,0.5415890362724549,39.250321480465416,1917637708028.3079,106.23586968570146,-1.216614438857073,1.8552998500292324,-2.6460694669659532,,,,-0.07623019132996155,-1.0,894.21,-0.0016,1951.7,1.13,8731.2,-4.62,297.0,581.0,2016-02-25
34,399001.SZ,20160226,9573.704,9625.367,9676.24,9392.669,208500408.27,296329347.9461,1.75,2.83,33.66,28.76,3.0,-4.459896814695882,-4.509094493306891,-2.256986985923021,,77.32279249961864,-0.6761163181508554,493970.23312699934,,31.355491461864865,345247410.34856665,,-95645663.614935,36206810.34160046,90.29146952097973,67.41983751380202,3.2479999999999998,0.5368779141823979,22.87163200717771,1927732442004.7651,106.29273503612558,-1.174704987912833,1.7765903677458879,-0.1944133682755042,,,,0.002366355122416788,-1.0,889.85,-0.0049,1948.05,-0.19,8821.18,1.03,1640.0,335.0,2016-02-26
35,399001.SZ,20160229,9097.362,9528.724,9528.724,9000.888,208654406.19,267130130.5036,1.91,3.1,32.07,27.38,2.84,-6.845525697385613,-8.740073884193945,-6.598043549688561,,62.45081406635029,-7.104075341448124,-10381651.360158732,,16.100143621541786,339276418.78388333,,-350256982.1643903,35561017.68021984,84.48537346577719,64.08712566503317,3.184,0.5270383986809791,20.398247800744016,1940723290823.7957,119.63476673760373,-0.9227437270913039,0.6196470353556662,-1.549595144431581,,,,-0.051035692038664246,1.0,890.15,0.0003,1932.23,-0.81,8756.88,-0.73,2013.0,234.0,2016-02-29
